Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow (Quarterly YoY Growth)
AAPL,Apple Inc.,143,10.05926268,13.07,Neutral,1377778266,197022292038,2264578329700.2876,23.91471788,6.1445,164000,Electronic Technology,19.89177326,28.26149804,22.74253402
MSFT,Microsoft Corporation,242.71,1.20507047,2.89,Neutral,639626996,155243868199.16,1806685625342.722,27.59172782,9.0309,221000,Technology Services,16.09287573,32.858728,-43.13406849
GOOG,Alphabet Inc.,97.95,10.39107404,9.22,Neutral,503871113,49354175518.35,1258830294324.446,20.26602809,5.0893,156500,Technology Services,56.41294961,26.0252905,-14.11858974
AMZN,"Amazon.com, Inc.",100.55,19.70238095,16.55,Neutral,1457271131,146528612222.05,1025776318117.522,93.88429752,1.1147,1608000,Retail Trade,-156.80450548,-3.13437855,41.03141672
BRK.A,Berkshire Hathaway Inc.,465039.98,-0.78320763,-3670.98,Buy,79667,37048340086.66,675833511040.2534,,-1194,372000,Finance,-2.30185718,9.46960093,-10.58213528
TSLA,"Tesla, Inc.",166.66,35.29793798,43.48,Sell,3700685851,616756303927.66,526271003829.3028,54.96678511,3.6018,99290,Consumer Durables,83.80671339,9.25812385,149.39485628
V,Visa Inc.,229.1,10.27146708,21.34,Strong Buy,116325167,26650095759.7,471816316853.152,33.02794189,7.1988,26500,Commercial Services,23.1166506,60.99965882,-3.37521557
NVDA,NVIDIA Corporation,191.62,31.12084303,45.48,Buy,895694156,171632914172.72,471385185871.965,86.63745427,2.3817,22473,Electronic Technology,73.24243715,30.21475812,-110.63993832
XOM,Exxon Mobil Corporation,113.56,2.9555757,3.26,Buy,301984343,34293341991.08,467673407449.5145,9.41909728,12.274,63000,Energy Minerals,1479.22723795,12.85266122,111.31769538
UNH,UnitedHealth Group Incorporated,485.79,-8.37262816,-44.39,Buy,75442815,36649365098.85,453897418486.4858,22.94387825,,,Health Services,17.67308563,7.21984687,-313.99128022
JNJ,Johnson & Johnson,162,-8.29323521,-14.65,Sell,148911449,24123654738,423546299790.3941,24.96438535,,,Health Technology,,,
JPM,JP Morgan Chase & Co.,139.13,3.75093214,5.03,Buy,200776438,27934025818.94,408096843820.838,11.60897478,12.104,,Finance,,,
META,"Meta Platforms, Inc.",147.06,22.20375602,26.72,Sell,518928703,76313655063.18001,390914468888.9774,14.45500791,10.5709,71970,Technology Services,65.52132701,33.16911023,-96.75736498
WMT,Walmart Inc.,142.15,0.25389661,0.36,Buy,103317270,14686549930.5,383350135104.8015,44.28580258,3.2509,2300000,Retail Trade,-57.09027509,1.93363992,531.77257525
MA,Mastercard Incorporated,371.12,6.72648319,23.39,Buy,62309814,23124418171.68,356944342873.0426,36.58496029,10.2557,,Commercial Services,24.54105192,49.72793093,-3.07336418
CVX,Chevron Corporation,174.2,-2.9472394,-5.29,Buy,167320683,29147262978.6,336839829647.1787,9.82986043,18.3381,,Energy Minerals,73.69956923,15.90890772,6.16966581
LLY,Eli Lilly and Company,340.5,-6.92652526,-25.34,Buy,48316206,16451668143,336115777542.0097,51.37948125,6.6754,35000,Health Technology,16.41723888,21.01425222,21.09694863
PG,Procter & Gamble Company (The),141.01,-6.96093956,-10.55,Neutral,140686331,19838179534.309998,332662918831.9911,24.68739024,5.868,106000,Consumer Non-Durables,-12.94276181,16.91920137,-36.24026696
HD,"Home Depot, Inc. (The)",314.24,-0.51288546,-1.62,Buy,59474930,18689402003.2,320269002977.151,19.08460889,16.6477,490600,Retail Trade,-14.47850513,9.26520108,-24.56268222
BABA,Alibaba Group Holding Limited,111.2,26.23453286,23.11,Sell,424574445,47212678284,317239102994.3459,318.4826473,0.3893,254941,Retail Trade,-49.90025166,10.48399764,
BAC,Bank of America Corporation,35.3,6.5821256,2.18,Neutral,770363875,27193844787.499996,283191860244.7673,11.12156863,3.2066,,Finance,,,
MRK,"Merck & Company, Inc.",106.09,-4.38035151,-4.86,Buy,164808405,17484523686.45,268980154215.31076,17.5323595,6.0326,68000,Health Technology,65.88255495,19.75381847,23.47586207
KO,Coca-Cola Company (The),60.64,-4.66907719,-2.97,Buy,246392834,14941261453.76,262238516338.7799,26.51558322,2.2937,79000,Consumer Non-Durables,29.89500404,29.07090843,-5.68844807
ABBV,AbbVie Inc.,145.65,-9.87562651,-15.96,Buy,114140927,16624626017.550001,257579178123.98483,19.49594168,7.5334,50000,Health Technology,30.97081596,39.13020268,-3.79632029
PFE,"Pfizer, Inc.",43.55,-15.0078064,-7.69,Sell,473046519,20601175902.449997,244459849544.08655,8.4325053,5.3098,79000,Health Technology,145.29030139,36.74466096,-10.87808702
AVGO,Broadcom Inc.,581.45,3.99191601,22.32,Buy,42187998,24530211437.100002,242979891457.618,22.54508139,27.4455,20000,Electronic Technology,22.45326927,49.12809084,29.19200695
ORCL,Oracle Corporation,87.35,6.86322486,5.61,Buy,129503274,11312110983.9,235517687754.46176,27.78679823,3.2868,143000,Technology Services,-63.43804538,11.84731385,65.57412633
PEP,"PepsiCo, Inc.",169.48,-6.18842024,-11.18,Buy,86927511,14732474564.279999,233494153327.5599,24.26192928,7.0288,309000,Consumer Non-Durables,9.69715989,8.79725172,1.35419801
COST,Costco Wholesale Corporation,503.28,10.2475356,46.78,Buy,39053642,19654916945.76,223319952236.5804,38.04070958,13.2594,304000,Retail Trade,-34.80446927,1.54260335,-29.50522015
TMO,Thermo Fisher Scientific Inc,564.29,2.46962901,13.6,Buy,35600402,20088950844.58,221312032540.79214,32.25975165,17.9173,130000,Health Technology,-0.38151137,17.31401903,-34.61900282
MCD,McDonald's Corporation,270.89,2.79285091,7.36,Buy,48683540,13187884150.599998,198406301112.08243,34.32177769,7.993,200000,Consumer Services,53.565868,30.57972949,-10.09308699
