Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Price to Revenue Ratio (TTM),Basic EPS (TTM),EPS Diluted (FY),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Total Shares Outstanding
AAPL,Apple Inc.,143,2264578329700.2876,23.91471788,5.96500273,6.1445,6.1132,18.34790932,2508880000000,15836200000
MSFT,Microsoft Corporation,242.71,1806685625342.722,27.59172782,9.08649779,9.0309,9.647,18.82100259,1770650000000,7443800000
GOOG,Alphabet Inc.,97.95,1258830294324.446,20.26602809,5.01795045,5.0893,5.6099,13.08981291,1257450000000,12943000000
AMZN,"Amazon.com, Inc.",100.55,1025776318117.522,93.88429752,2.10326637,1.1147,3.2392,21.67375451,1253090000000,10201700000
BRK.A,Berkshire Hathaway Inc.,465039.98,675833511040.2534,,2.33146205,-1194,59460,13.22693577,618290000000,1464812.66666667
TSLA,"Tesla, Inc.",166.66,526271003829.3028,54.96678511,8.24114983,3.6018,1.6309,33.96761852,905545000000,3157750000
V,Visa Inc.,229.1,471816316853.152,33.02794189,16.11577434,7.1988,6.8492,22.70918678,440603000000,2059430529.9534996
NVDA,NVIDIA Corporation,191.62,471385185871.965,86.63745427,17.81563222,2.3817,3.8469,53.31739434,344317000000,2460000000
XOM,Exxon Mobil Corporation,113.56,467673407449.5145,9.41909728,1.239183,12.274,5.3895,5.94462572,387299000000,4118290000
UNH,UnitedHealth Group Incorporated,485.79,453897418486.4858,22.94387825,1.41993617,,21.179,,564600000000,934349000
JNJ,Johnson & Johnson,162,423546299790.3941,24.96438535,4.69305686,,6.7349,,,2614480000
JPM,JP Morgan Chase & Co.,139.13,408096843820.838,11.60897478,2.64844483,12.104,12.0848,,940100000000,2933200000
META,"Meta Platforms, Inc.",147.06,390914468888.9774,14.45500791,3.45193566,10.5709,13.7706,8.9248149,349045000000,2658196470
WMT,Walmart Inc.,142.15,383350135104.8015,44.28580258,0.64735633,3.2509,4.8745,13.88414118,447780000000,2696800000
MA,Mastercard Incorporated,371.12,356944342873.0426,36.58496029,16.20802277,10.2557,10.22,27.4454756,340969000000,961803000
CVX,Chevron Corporation,174.2,336839829647.1787,9.82986043,1.45597052,18.3381,18.28,6.16402002,350971000000,1933640000
LLY,Eli Lilly and Company,340.5,336115777542.0097,51.37948125,10.57439354,6.6754,6.1224,34.55025215,305486000000,987124000
PG,Procter & Gamble Company (The),141.01,332662918831.9911,24.68739024,4.34451843,5.868,5.806,18.03228508,405180000000,2359140000
HD,"Home Depot, Inc. (The)",314.24,320269002977.151,19.08460889,2.05971016,16.6477,15.5321,13.67293654,352770000000,1019190000
BABA,Alibaba Group Holding Limited,111.2,317239102994.3459,318.4826473,2.38341285,0.3893,3.5431,14.30767909,178999000000,2623200000
BAC,Bank of America Corporation,35.3,283191860244.7673,11.12156863,2.49331279,3.2066,3.19,,766729000000,8022430000
MRK,"Merck & Company, Inc.",106.09,268980154215.31076,17.5323595,4.47026166,6.0326,5.1414,12.13985341,238019000000,2535400000
KO,Coca-Cola Company (The),60.64,262238516338.7799,26.51558322,6.19233853,2.2937,2.2514,23.60129089,271461000000,4324510000
ABBV,AbbVie Inc.,145.65,257579178123.98483,19.49594168,4.49321642,7.5334,6.4536,10.5512577,296117000000,1768480000
PFE,"Pfizer, Inc.",43.55,244459849544.08655,8.4325053,2.5069456,5.3098,3.8798,6.04574649,251025000000,5613310000
AVGO,Broadcom Inc.,581.45,242979891457.618,22.54508139,7.63589766,27.4455,26.5319,14.21028651,230436000000,417886000
