S&P500 Position,Ticker,Aggregated Score
1,MSFT,1.0000000000000002
12,META,1.0
15,CVX,0.9808851086925072
8,XOM,0.9628465155239412
25,AVGO,0.9451998528311194
2,GOOG,0.930898821134059
4,BRK.A,0.9067309945943467
0,AAPL,0.8983755763793893
19,BABA,0.8566191985901976
23,ABBV,0.8538194781630133
18,HD,0.8435605417991403
6,V,0.8402864777113488
7,NVDA,0.8361267923585136
110,MRNA,0.8219762341371819
39,VZ,0.8178260321556814
24,PFE,0.8022508499028491
96,REGN,0.7988799490836018
3,AMZN,0.7951224508240324
13,WMT,0.7926117735703566
195,NUE,0.7681081706427864
21,MRK,0.7635348769573507
50,COP,0.7616136779885858
118,LRCX,0.7558197750641809
28,COST,0.7409296750573837
131,CHTR,0.735897274995799
49,UPS,0.7319515589944565
52,QCOM,0.7310194078967893
143,KLAC,0.7222819556549198
11,JPM,0.7165832534963354
465,TPL,0.7123427599509691
47,TXN,0.7092191282961557
26,ORCL,0.7029077262469088
29,TMO,0.7020361754266544
67,GS,0.6950166454551872
282,URI,0.6733081381462642
102,EOG,0.6723558225615058
61,DE,0.6721026322006065
82,BKNG,0.6668017007403513
357,STLD,0.6649334047228652
17,PG,0.6615825734030425
36,TMUS,0.660617257613968
37,ACN,0.6558204969494976
244,BNTX,0.6488846448936729
57,CAT,0.6465807765542781
46,NFLX,0.6411300831637967
40,CMCSA,0.6396947893458163
156,GM,0.6360083389744473
14,MA,0.6351494124657266
31,CSCO,0.6346003952915089
58,AMGN,0.6188351043366429
5,TSLA,0.6187435320861545
144,PXD,0.6164494398452258
41,ADBE,0.6087615902881971
76,BLK,0.6081445296525851
69,LMT,0.6063086776261961
129,MPC,0.604764798745798
137,SCCO,0.6043770125209116
27,PEP,0.6007258506350088
44,PM,0.5983116739018612
445,FICO,0.5967720148624256
16,LLY,0.5937434400147468
35,DHR,0.5865000963463827
10,JNJ,0.5828638226371126
147,VLO,0.5828624555588953
66,LOW,0.5813028687419732
33,NKE,0.5787052723084498
314,FANG,0.5786111316739413
259,DHI,0.5752378255080468
140,BN,0.5732831421993456
87,AMAT,0.5715410851447098
178,AZO,0.5698189225998858
101,TGT,0.5696727014043799
286,GWW,0.5693716417894794
212,MSCI,0.5655397114153784
54,T,0.5651419153248205
95,VRTX,0.5636707072942577
112,MU,0.5596990888063789
113,NOC,0.5565330019491921
154,F,0.5522527153729428
170,AIG,0.5505696999006437
68,SPGI,0.5502127797243879
449,NVR,0.5492318290255402
205,BIIB,0.5483233636863862
30,MCD,0.5470507393569299
275,LYB,0.5444837462163474
22,KO,0.5400114957094289
299,WTW,0.5395728251038749
43,MS,0.5359719170235142
79,C,0.5339849995074766
127,HUM,0.5231620687449896
78,GILD,0.522645754286611
208,DVN,0.5217597914979173
73,INTC,0.5205303393135163
20,BAC,0.5120498901611115
74,CVS,0.5103430628998709
252,MTD,0.5092127347303945
234,MFC,0.505362407815175
312,ULTA,0.5037253145226936
85,CB,0.5030128690636939
81,CI,0.4992683193160481
163,ORLY,0.4969966001983266
187,CMG,0.4966191279479084
48,BMY,0.4964808323847363
135,MELI,0.49301396574826617
355,TECK,0.4909659152698387
56,HON,0.48821574308131965
475,POOL,0.4851646844198949
467,WLK,0.4831218305791585
38,WFC,0.48264740233929526
59,PDD,0.48179744643742417
32,DIS,0.473902972305259
136,OXY,0.473185732027829
138,MCO,0.4705253829215603
276,ON,0.4685978911736495
122,FCX,0.46713238944671187
396,RKT,0.4670524430654357
228,PRU,0.46546771927298103
344,LH,0.46529101568168585
9,UNH,0.4651727694311072
70,INTU,0.4629746062235942
337,PFG,0.460365429128899
227,TDG,0.45787415420009525
45,LIN,0.45778998749272115
175,NXPI,0.45727834792592015
336,VRSN,0.4541778608097352
247,GOLD,0.45244226694725576
176,FDX,0.4520139440393709
42,CRM,0.45090309142596197
159,PSX,0.45009792297234874
262,ALB,0.44890918075068875
71,AMD,0.447107544282482
72,ELV,0.4466971993868205
236,AMP,0.4456394706097916
92,ADI,0.44558120786525846
455,BEN,0.4434396683999937
109,APD,0.44333363741312615
496,RE,0.4420556695722172
64,UNP,0.4372912284603616
207,DOW,0.43725865174944056
86,ADP,0.4366589264371713
83,SYK,0.4360749679794036
160,CDNS,0.4341263596927408
375,CTRA,0.43100675732118365
315,TROW,0.4286273559655316
380,MPWR,0.4279760437375274
77,MDT,0.42691120950402983
111,ABNB,0.42600006868080076
297,FERG,0.42563479310654884
353,BMRN,0.4231316894155339
421,SWKS,0.42237063011285125
495,AXON,0.4209482373981226
366,HOLX,0.4208384600723474
80,EL,0.4203795369244048
245,CMI,0.4186361067219784
139,NTES,0.41778490694247294
121,CME,0.4174761186397914
53,RTX,0.41411887357441524
108,ITW,0.4138405567657496
381,BBY,0.41235083767730907
141,MET,0.4120541564376252
447,FDS,0.4118920069480144
188,CTAS,0.41135756334264284
126,MMM,0.4110920827218243
292,LEN,0.40992326000347934
106,HCA,0.40747939578299486
261,ROK,0.407159690456557
313,YUMC,0.4054054772619372
63,SBUX,0.40505067597828404
132,ICE,0.40314673022581615
150,SNPS,0.4022911711074616
377,WAT,0.4010106323327335
242,ODFL,0.39932866997511673
192,COF,0.3990360739458182
424,MRO,0.3985129814788869
203,PAYX,0.3944786379280407
148,MCK,0.3929665530387556
239,DD,0.3906367547160199
206,ROST,0.3890963074673851
219,IDXX,0.3885229846900704
88,PYPL,0.38799141639144863
288,ENPH,0.3849813496175246
210,PH,0.38398176510977167
