,Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow (Quarterly YoY Growth),3-Month Performance,Basic EPS (FY),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY),Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Net Debt (MRQ),Quick Ratio (MRQ),Total Assets (MRQ),Total Debt (MRQ),Total Current Assets (MRQ),Dividend Yield Forward,Dividends Paid (FY),Dividends per Share (FY),Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM),6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility,Price to Revenue Ratio (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Total Shares Outstanding
0,AAPL,Apple Inc.,143.0,2264578329700.288,23.91471788,6.1445,164000.0,Electronic Technology,19.89177326,28.26149804,22.74253402,-7.78952799,6.1546,6.1021,130541000000.0,38095000000.0,170782000000.0,394328000000.0,6.1132,394328000000.0,99803000000.0,0.87935603,2.61446164,84176000000.0,0.84723539,352755000000.0,132480000000.0,135405000000.0,0.6304393,-14841000000.0,0.9,43.30963056,30.2887444,30.20404333,25.30964071,-11.09176822,9.76358612,-13.70466478,1.2153943,2.15610781,5.96500273,18.34790932,2508880000000.0,15836200000.0
1,MSFT,Microsoft Corporation,242.71,1806685625342.722,27.59172782,9.0309,221000.0,Technology Services,16.09287573,32.858728,-43.13406849,3.456948,9.7036,8.994,97005000000.0,35259000000.0,135620000000.0,198270000000.0,9.647,198270000000.0,72738000000.0,1.93131256,0.42583108,-21523000000.0,1.89484569,364552000000.0,77985000000.0,157823000000.0,1.0960671,-18135000000.0,2.48,68.15976952,40.57689104,40.46566778,33.04800729,-12.30307848,-0.15221326,-19.15864504,1.1529822,2.46077622,9.08649779,18.82100259,1770650000000.0,7443800000.0
6,V,Visa Inc.,229.1,471816316853.152,33.02794189,7.1988,26500.0,Commercial Services,23.1166506,60.99965882,-3.37521557,9.66444881,7.0186,7.0074,21160000000.0,6194000000.0,22716000000.0,29310000000.0,6.8492,29310000000.0,14630000000.0,1.43951842,0.55484238,1910000000.0,1.43951842,85387000000.0,20487000000.0,27859000000.0,0.77773935,-3203000000.0,1.5,77.39755524,67.14811011,60.34385663,49.23973896,10.14952642,9.47056575,3.83430022,1.0078174,1.53994647,16.11577434,22.70918678,440603000000.0,2059430529.9535
7,NVDA,NVIDIA Corporation,191.62,471385185871.965,86.63745427,2.3817,22473.0,Electronic Technology,73.24243715,30.21475812,-110.63993832,38.74447904,3.907,2.3506,9370000000.0,3177000000.0,17475000000.0,26914000000.0,3.8469,26914000000.0,9752000000.0,3.38774617,0.55028339,-1395000000.0,2.73800146,40488000000.0,11748000000.0,23223000000.0,0.07856617,-399000000.0,0.16,57.83798922,27.8057831,20.1568298,20.85346216,5.3783546,29.02834826,-12.9480764,2.0593154,6.34464752,17.81563222,53.31739434,344317000000.0,2460000000.0
8,XOM,Exxon Mobil Corporation,113.56,467673407449.5145,9.41909728,12.274,63000.0,Energy Minerals,1479.22723795,12.85266122,111.31769538,1.05900151,5.3895,12.274,83777000000.0,28249000000.0,67602000000.0,280510000000.0,5.3895,280510000000.0,23040000000.0,1.34071053,0.23532581,14964000000.0,1.01533954,370152000000.0,45428000000.0,99289000000.0,3.1485167,-14924000000.0,3.49,25.06652734,15.14697483,18.09236223,13.28241655,20.271129,3.44325014,51.4739229,0.62893593,2.1723895,1.239183,5.94462572,387299000000.0,4118290000.0
13,WMT,Walmart Inc.,142.15,383350135104.8015,44.28580258,3.2509,2300000.0,Retail Trade,-57.09027509,1.93363992,531.77257525,-0.5735469,4.8972,3.2358,32294000000.0,37200000000.0,143754000000.0,572754000000.0,4.8745,572754000000.0,13673000000.0,0.86462607,0.81335606,53793000000.0,0.22655017,247656000000.0,65380000000.0,87680000000.0,1.5631542,-6152000000.0,2.2,24.37744954,3.57499933,2.1489322,1.49422108,7.55901937,-0.2806033,4.52205882,0.6576082,1.43696468,0.64735633,13.88414118,447780000000.0,2696800000.0
16,LLY,Eli Lilly and Company,340.5,336115777542.0097,51.37948125,6.6754,35000.0,Health Technology,16.41723888,21.01425222,21.09694863,-1.54121967,6.1543,6.6583,10157300000.0,5362500000.0,21005600000.0,28318400000.0,6.1224,28318400000.0,5581700000.0,1.12694853,1.5629113,13146300000.0,0.8821936,47461500000.0,15888400000.0,17639900000.0,1.321251,-3086800000.0,3.4,75.60868004,29.28948853,22.40086185,20.63373177,6.19717431,-7.03325506,43.37445787,0.5758799,2.45684322,10.57439354,34.55025215,305486000000.0,987124000.0
17,PG,Procter & Gamble Company (The),141.01,332662918831.9911,24.68739024,5.868,106000.0,Consumer Non-Durables,-12.94276181,16.91920137,-36.24026696,4.68448404,5.9997,5.694,20006000000.0,9876000000.0,38212000000.0,80187000000.0,5.806,80187000000.0,14742000000.0,0.56434213,0.77992174,28028000000.0,0.36971558,117715000000.0,34882000000.0,21866000000.0,2.5988472,-8770000000.0,3.5227,46.59882164,21.52190431,21.86445112,17.78627571,-0.45884512,-6.58496191,-11.09639997,0.68524146,1.31166239,4.34451843,18.03228508,405180000000.0,2359140000.0
18,HD,"Home Depot, Inc. (The)",314.24,320269002977.151,19.08460889,16.6477,490600.0,Retail Trade,-14.47850513,9.26520108,-24.56268222,4.61763825,15.5911,16.594,27062000000.0,12616000000.0,48446000000.0,151157000000.0,15.5321,151157000000.0,16433000000.0,1.3871911,38.29969183,47251000000.0,0.32792422,76866000000.0,49713000000.0,33681000000.0,2.3998232,-6985000000.0,6.6,31.96495667,15.32954842,14.39052457,10.86839044,3.58991264,-1.00182723,-12.75231141,0.8608769,1.41859798,2.05971016,13.67293654,352770000000.0,1019190000.0
21,MRK,"Merck & Company, Inc.",106.09,268980154215.3108,17.5323595,6.0326,68000.0,Health Technology,65.88255495,19.75381847,23.47586207,5.40486836,5.1577,6.0106,23582000000.0,11336000000.0,35441000000.0,48907000000.0,5.1414,48907000000.0,13049000000.0,1.45930081,0.6831821,19036000000.0,1.21519263,107081000000.0,30418000000.0,33561000000.0,2.7709243,-6610000000.0,2.64,71.31533275,32.92503838,28.10226287,25.56905414,21.59312321,-3.91268907,33.37943173,0.2676406,1.06161137,4.47026166,12.13985341,238019000000.0,2535400000.0
