Ticker,Description,"Change 1m, %","Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility
AAPL,Apple Inc.,0.00698373,-0.1464333,0.0349284,0.0349284,-0.20752931,-1.87075995,-1.87075995,10.21319172,-7.66056229,-10.96742104,9.91710163,-13.583972,1.2153943,2.04181526
MSFT,Microsoft Corporation,0.01648261,-0.08644465,0.02884814,0.02884814,-0.22690651,-2.20422308,-2.20422308,1.19673088,3.44842285,-12.31030496,-0.16044101,-19.1653066,1.1529822,2.43539998
GOOG,Alphabet Inc.,0.04073735,-0.06104385,-0.11185682,-0.11185682,-0.47114849,-2.45258663,-2.45258663,10.71790826,2.77225651,-15.55784769,9.36212846,-24.43076923,1.1696144,3.27112387
XOM,Exxon Mobil Corporation,-0.01319784,-0.11426562,0,0,-0.02639219,-1.70400484,-1.70400484,3.02810517,1.13019489,20.35585681,3.51612316,51.58063225,0.62893593,1.92189015
CVX,Chevron Corporation,0,-0.10282776,-0.01715266,-0.01715266,-0.42989324,-2.55781555,-2.55781555,-2.57953089,-4.90020123,9.76084364,-1.78611548,34.50769231,0.62272906,2.64256707
BRK.A,Berkshire Hathaway Inc.,0.02518084,-0.04176684,-0.02624115,-0.02624115,-0.24048246,-0.70585,-0.70585,-0.43277311,3.67471094,5.11713375,-1.32519188,0.89128698,0.86321163,1.07504928
AMZN,"Amazon.com, Inc.",0.01795635,-0.03173026,-0.00188455,-0.00188455,-0.45114786,-1.3448748,-1.3448748,20.07738095,-3.00509664,-25.94890243,18.02597707,-28.39369447,1.5287412,3.26229674
VZ,Verizon Communications Inc.,0.01217434,-0.07298382,-0.10652062,-0.10652062,-0.27289899,1.05807087,1.05807087,4.23857868,8.13586098,-9.65684118,3.26879557,-20.15940902,0.3764665,1.52334152
META,"Meta Platforms, Inc.",0.03661613,-0.21643558,-0.12050803,-0.12050803,-0.59295196,-2.75464611,-2.75464611,22.61932857,56.42966183,-9.29983404,20.14338056,-50.08460174,1.18353,3.25961211
T,AT&T Inc.,0,-0.04959088,0.04964011,0.04964011,0.17395626,1.02756892,1.02756892,9.47854427,8.53527194,9.41910966,8.88708806,10.94012162,0.59651345,1.86023127
PFE,"Pfizer, Inc.",-0.02300702,-0.08782982,-0.04600345,-0.04600345,-0.35542307,-0.76501484,-0.76501484,-15.19320843,-9.46875,-12.72343844,-14.81082141,-19.18355961,0.612419,1.62330187
CMCSA,Comcast Corporation,0.02539038,-0.07305232,0.05079365,0.05079365,-0.12397354,-0.51767677,-0.51767677,12.65370317,23.16710958,4.16446325,12.75042931,-17.72774451,0.7598607,1.69491525
COP,ConocoPhillips,0,-0.20618557,-0.0495622,-0.0495622,-0.41152263,-2.12765957,-2.12765957,2.52542373,-6.02765263,26.8799161,3.79203844,37.50852466,0.80073714,2.43639678
WMT,Walmart Inc.,0.03399968,-0.01413028,0.04241482,0.04241482,-0.1869027,-1.24214934,-1.24214934,-0.19042246,-1.01419878,7.08232446,-0.72255349,4.05882353,0.6576082,1.43696468
ABBV,AbbVie Inc.,-0.03436426,-0.10645239,-0.02062139,-0.02062139,-0.24005487,-0.53322395,-0.53322395,-9.96844255,-0.79094504,2.66723116,-10.20735621,6.99316126,0.47329116,1.28046262
HD,"Home Depot, Inc. (The)",0.00952441,0,0.02063852,0.02063852,-0.47077409,-0.49101645,-0.49101645,-0.22953207,4.91560409,3.88495138,-0.71986642,-12.50381764,0.8608769,1.11238241
TMUS,"T-Mobile US, Inc.",0.04322334,0.02958419,-0.04536476,-0.04536476,-0.25598151,-0.00681524,-0.00681524,4.8,-4.09830708,2.91806958,5.55395683,38.79481601,0.71935,1.79578918
MRK,"Merck & Company, Inc.",0.01890181,-0.02833932,0.03223187,0.03223187,-0.20744932,0.4412602,0.4412602,-4.6011717,5.16145057,21.31232092,-4.13458926,33.07141061,0.2676406,1.06161137
V,Visa Inc.,-0.0087127,-0.09140768,0.03704592,0.03704592,-0.16093954,-0.78638092,-0.78638092,10.52175587,9.91335982,10.39953844,9.7190367,4.06997825,1.0078174,1.53994647
CHTR,"Charter Communications, Inc.",0.01279132,-0.16089077,-0.05879797,-0.05879797,0.02558592,-0.88993687,-0.88993687,15.27572987,4.48239917,-10.75342466,14.27819681,-30.27362563,1.1323702,2.04076371
GM,General Motors Company,-0.02212208,-0.17207527,-0.32157931,-0.32157931,-1.34240668,-3.51778656,-3.51778656,8.84363853,-8.27905812,-0.47567274,7.64368661,-28.55609756,1.4299597,3.83036936
MPC,Marathon Petroleum Corporation,-0.00768226,-0.12277471,-0.00768226,-0.00768226,-0.07676954,-2.03989462,-2.03989462,11.8137297,14.31834153,37.7288602,12.52918288,81.25348189,0.63682264,3.00925926
OXY,Occidental Petroleum Corporation,-0.00775194,-0.17799102,-0.06198187,-0.06198187,-0.18571539,-3.05831079,-3.05831079,2.40514367,-12.85463388,-0.25514149,3.53932584,71.32802125,0.73902184,3.19478908
PG,Procter & Gamble Company (The),-0.00355682,-0.06398408,0.19601554,0.19601554,-0.17044244,-0.00711389,-0.00711389,-7.25785168,4.35040831,-0.77650713,-6.88307387,-11.38011475,0.68524146,1.31166239
NFLX,"Netflix, Inc.",0.06919731,-0.12262502,-0.1493652,-0.1493652,-0.56271224,-1.79200044,-1.79200044,20.15226533,19.62892933,57.61599715,18.87036167,-8.39150895,1.6829754,2.17108243
BMY,Bristol-Myers Squibb Company,-0.01386097,-0.12461059,-0.10386373,-0.10386373,-0.4072898,-0.44168392,-0.44168392,0.25017373,-6.32467532,-1.59618008,0.51560758,13.26947236,0.30607575,1.08138084
BABA,Alibaba Group Holding Limited,-0.04477478,-0.10292209,-0.18778503,-0.18778503,-0.50806667,-5.71887143,-5.71887143,26.69996594,64.10821938,21.31521739,22.50027439,-1.44812362,0.7436719,7.83384952
CVS,CVS Health Corporation,-0.0171664,-0.15999086,-0.14857992,-0.14857992,-0.25118456,-0.47277284,-0.47277284,-6.25067067,-7.65775288,-10.89750127,-4.74814653,-18.1017108,0.5052183,1.17323871
VLO,Valero Energy Corporation,0.05686501,-0.09923448,0.15278025,0.15278025,0.26321406,-1.6199986,-1.6199986,11.0594356,10.93700787,24.1212228,12.03976143,72.93482263,0.5272457,2.68336315
AVGO,Broadcom Inc.,0.01115794,-0.0548951,-0.03774686,-0.03774686,-0.4765972,-1.41795969,-1.41795969,4.19938118,22.44979455,8.840068,3.11681416,7.22357185,1.0961082,1.64072577
ORCL,Oracle Corporation,0.00573526,-0.01720183,-0.04012841,-0.04012841,-0.37502914,-2.0339364,-2.0339364,6.65524835,10.91603053,13.63399374,5.7111677,8.98862358,0.9871757,2.19925352
BN,Brookfield Corporation,0.10851872,0,-0.1082837,-0.1082837,-0.75309306,-2.22752586,-2.22752586,17.19643992,11.26223704,-8.65493839,16.08942065,-13.25064106,1.5397834,2.30602279
EOG,"EOG Resources, Inc.",0.03030533,-0.06811989,-0.05798348,-0.05798348,-0.21162422,-1.97534531,-1.97534531,1.9147622,-4.75503283,21.5917465,3.125,20.27334852,0.9028727,2.19321545
UPS,"United Parcel Service, Inc.",-0.02964004,-0.19803481,-0.42725898,-0.42725898,-0.9681589,-2.35597781,-2.35597781,2.27795674,5.23200758,-8.67533001,2.02559247,-9.19305414,1.00396,2.43010632
QCOM,QUALCOMM Incorporated,0.05201076,-0.00933936,0.16049567,0.16049567,-0.27653077,-2.06146927,-2.06146927,18.83754775,9.11140805,-11.51970744,17.33273462,-19.35682983,1.1721853,2.49711871
TSLA,"Tesla, Inc.",-0.02288343,-0.18871069,-0.01403799,-0.01403799,-1.06443329,-4.6430579,-4.6430579,37.71716188,-27.51976073,-44.38027225,43.19236938,-38.79930374,1.8497294,6.81521093
CSCO,"Cisco Systems, Inc.",0,-0.08013468,-0.02071895,-0.02071895,-0.30988534,-0.53597196,-0.53597196,1.28043661,5.85783238,7.4610245,0.81487672,-11.46788991,0.7610624,0.81047382
NEE,"NextEra Energy, Inc.",0.02669158,-0.06666667,-0.06666667,-0.06666667,-0.59022482,-0.83355385,-0.83355385,-10.34688995,-4.1437524,-12.6151335,-11.16510608,3.63661504,0.9322731,1.90870262
INTC,Intel Corporation,-0.01789229,-0.12511171,0.12542555,0.12542555,0.10748836,-0.78125,-0.78125,5.71320469,-2.98611111,-22.58243281,3.30929932,-41.4378537,1.0530825,3.03577882
