Ticker,Description,"Change 1m, %","Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,1-Year Beta,Volatility
AAPL,Apple Inc.,0.1049832,-0.06288429,-0.24758517,-0.0174758,-0.32599803,10.05926268,-2.00781196,10.05926268,-7.78952799,-11.09176822,9.76358612,-13.70466478,1.2153943,2.15610781
MSFT,Microsoft Corporation,0.08658009,-0.12342631,-0.16860632,0.15677861,-0.21046401,1.20507047,-2.19616377,1.20507047,3.456948,-12.30307848,-0.15221326,-19.15864504,1.1529822,2.46077622
GOOG,Alphabet Inc.,0.09194933,-0.06120575,-0.15287403,-0.04591134,-0.73458635,10.39107404,-2.74054215,10.39107404,2.4688775,-15.80711707,9.03929645,-24.65384615,1.1696144,3.27112387
AMZN,"Amazon.com, Inc.",0.084615,-0.03976934,-0.15393019,-0.15393019,-0.72574673,19.70238095,-1.6529734,19.70238095,-3.30801039,-26.18016298,17.65738357,-28.61731997,1.5287412,3.26229674
BRK.A,Berkshire Hathaway Inc.,0.03010753,-0.09021368,-0.35454297,-0.20917371,-0.57021318,-0.78320763,-1.0553234,-0.78320763,3.30981982,4.74716591,-1.67248546,0.53619233,0.86321163,1.08999752
TSLA,"Tesla, Inc.",0.1171136,-0.37650152,-0.77380952,-0.8328376,-2.70806583,35.29793798,-6.31815627,35.29793798,-28.79299295,-45.35732241,40.67696463,-39.87439261,1.8497294,7.96996997
V,Visa Inc.,-0.03272465,-0.03054368,-0.18733118,-0.00872867,-0.34362766,10.27146708,-1.01106118,10.27146708,9.66444881,10.14952642,9.47056575,3.83430022,1.0078174,1.53994647
NVDA,NVIDIA Corporation,0.03393458,-0.35881435,-0.49852002,-0.44682288,-1.7283824,31.12084303,-5.90719371,31.12084303,38.74447904,5.3783546,29.02834826,-12.9480764,2.0593154,6.34464752
XOM,Exxon Mobil Corporation,0.08811349,0.20731331,-0.01320364,0.15871616,-0.07037917,2.9555757,-1.77320301,2.9555757,1.05900151,20.271129,3.44325014,51.4739229,0.62893593,2.1723895
UNH,UnitedHealth Group Incorporated,-0.02675062,-0.0072035,-0.25253044,0.08033783,-1.08617092,-8.37262816,-0.05349244,-8.37262816,-12.47027027,-9.58009158,-7.4914783,5.28608583,0.51837486,2.15552805
